,fusion_concat_embedding_50,fusion_mobilenet_simple_224,fusion_mobilenet_224_crop
10,0.5995850622406639,0.6078838174273858,0.6203319502074689
40,0.7162162162162162,0.7108108108108108,0.7918918918918919
50,0.8409893992932862,0.8657243816254417,0.8586572438162544
60,0.8951048951048951,0.8391608391608392,0.8391608391608392
1140,0.7867298578199052,0.7511848341232228,0.7890995260663507
1160,0.9495268138801262,0.9542586750788644,0.9747634069400631
1180,0.7570093457943925,0.4766355140186916,0.5233644859813084
1280,0.6180371352785146,0.616710875331565,0.6525198938992043
1281,0.54,0.5628571428571428,0.5171428571428571
1300,0.952912019826518,0.9516728624535316,0.9442379182156134
1301,0.9919354838709676,0.9032258064516128,0.9435483870967742
1302,0.771712158808933,0.8064516129032258,0.8163771712158809
1320,0.814595660749507,0.834319526627219,0.814595660749507
1560,0.8050955414012739,0.8280254777070064,0.8114649681528663
1920,0.9438040345821326,0.9178674351585014,0.9365994236311239
1940,0.8623188405797102,0.7971014492753623,0.8405797101449275
2060,0.7328605200945626,0.74822695035461,0.7635933806146572
2220,0.865546218487395,0.8991596638655462,0.8823529411764706
2280,0.8657894736842106,0.7592105263157894,0.8289473684210527
2403,0.7627329192546584,0.853416149068323,0.8273291925465839
2462,0.8097165991902834,0.7489878542510121,0.7489878542510121
2522,0.9093198992443324,0.933249370277078,0.9408060453400504
2582,0.7071428571428572,0.7309523809523809,0.7523809523809524
2583,0.9662576687116564,0.9644171779141104,0.9687116564417177
2585,0.829683698296837,0.732360097323601,0.7591240875912408
2705,0.8957345971563981,0.8601895734597157,0.7985781990521327
2905,0.946153846153846,0.953846153846154,0.9384615384615385
accuracy,0.8274821520571134,0.8226981673658644,0.8319717376904394
macro avg,0.8198707689949658,0.8002928503199536,0.8105040203922349
weighted avg,0.8274821520571134,0.8226981673658644,0.8319717376904394
