,text_logistic_regression,text_random_forest,text_kneighbours,text_decision_tree,text_neural_simple,text_neural_embedding
10,0.5228215767634855,0.5892116182572614,0.5311203319502075,0.5103734439834025,0.6493775933609959,0.6410788381742739
40,0.5513513513513514,0.5513513513513514,0.5135135135135135,0.4918918918918919,0.5648648648648649,0.6108108108108108
50,0.7279151943462897,0.696113074204947,0.4522968197879858,0.5653710247349824,0.7597173144876325,0.8056537102473498
60,0.8601398601398601,0.8321678321678322,0.7972027972027972,0.7972027972027972,0.8601398601398601,0.8811188811188811
1140,0.6824644549763034,0.6872037914691943,0.6516587677725119,0.580568720379147,0.7156398104265402,0.7772511848341233
1160,0.8911671924290221,0.8974763406940063,0.8659305993690851,0.8485804416403786,0.862776025236593,0.9290220820189274
1180,0.5046728971962616,0.4859813084112149,0.4485981308411215,0.4672897196261682,0.6074766355140186,0.6822429906542056
1280,0.6114058355437666,0.5676392572944297,0.3806366047745358,0.5238726790450928,0.5928381962864722,0.6883289124668435
1281,0.5057142857142857,0.4114285714285714,0.2657142857142857,0.3885714285714285,0.5714285714285714,0.5257142857142857
1300,0.8798017348203222,0.8934324659231723,0.7199504337050805,0.8599752168525403,0.8822800495662949,0.942998760842627
1301,0.8870967741935484,0.75,0.782258064516129,0.7258064516129032,0.9274193548387096,0.9758064516129032
1302,0.7593052109181141,0.684863523573201,0.5161290322580645,0.6600496277915633,0.7915632754342432,0.7890818858560794
1320,0.6863905325443787,0.6055226824457594,0.5936883629191322,0.5443786982248521,0.7199211045364892,0.8165680473372781
1560,0.7885350318471338,0.8140127388535032,0.5057324840764331,0.6573248407643312,0.8038216560509555,0.8152866242038217
1920,0.899135446685879,0.8904899135446686,0.8170028818443804,0.8141210374639769,0.926512968299712,0.920749279538905
1940,0.8333333333333334,0.7391304347826086,0.6594202898550725,0.6594202898550725,0.8623188405797102,0.8768115942028986
2060,0.706855791962175,0.7387706855791962,0.4858156028368794,0.6548463356973995,0.7033096926713948,0.74822695035461
2220,0.7310924369747899,0.6218487394957983,0.3445378151260504,0.6050420168067226,0.8487394957983193,0.8739495798319328
2280,0.7960526315789473,0.8526315789473684,0.6197368421052631,0.7789473684210526,0.8460526315789474,0.7934210526315789
2403,0.6894409937888198,0.7403726708074534,0.653416149068323,0.6695652173913044,0.6683229813664596,0.7813664596273292
2462,0.7732793522267206,0.757085020242915,0.7044534412955465,0.6720647773279352,0.7813765182186235,0.805668016194332
2522,0.8677581863979849,0.8614609571788413,0.716624685138539,0.756926952141058,0.8954659949622166,0.906801007556675
2582,0.6833333333333333,0.5880952380952381,0.3857142857142857,0.5428571428571428,0.7095238095238096,0.719047619047619
2583,0.9564417177914112,0.9687116564417176,0.8760736196319019,0.91840490797546,0.9447852760736196,0.9631901840490797
2585,0.7104622871046229,0.5742092457420924,0.3819951338199513,0.5279805352798054,0.8004866180048662,0.7931873479318735
2705,0.6658767772511849,0.7085308056872038,0.2772511848341232,0.5545023696682464,0.6682464454976303,0.6966824644549763
2905,0.953846153846154,0.9923076923076924,0.023076923076923,0.9923076923076924,0.946153846153846,0.9230769230769231
accuracy,0.7676455435342607,0.7615367630823582,0.6065356590858909,0.6913225877677192,0.7858982851254877,0.8166629866784426
macro avg,0.7453959398170177,0.7222240442565645,0.554427743805486,0.658083097241272,0.7744651641074591,0.803079331273746
weighted avg,0.7676455435342607,0.7615367630823582,0.6065356590858909,0.6913225877677192,0.7858982851254877,0.8166629866784426
