,text_logistic_regression,text_random_forest,text_kneighbours,text_decision_tree,text_neural_simple,text_neural_embedding,text_neural_simple_tfidf,text_neural_simple_re,text_neural_batch
10,0.4487978628673196,0.4717607973421927,0.2596348884381338,0.3761467889908256,0.38756476683937824,0.535064935064935,0.0,0.3909287257019438,0.0
40,0.5425531914893618,0.5947521865889214,0.3201347935973041,0.4986301369863013,0.6102150537634409,0.6608187134502923,0.0,0.607190412782956,0.0
50,0.7304964539007093,0.76953125,0.5182186234817813,0.6177606177606176,0.8393782383419689,0.8216216216216216,0.0,0.831918505942275,0.0
60,0.8754448398576513,0.8913857677902621,0.8142857142857143,0.8231046931407943,0.9138576779026216,0.8780487804878049,0.0,0.9056603773584906,0.0
1140,0.6697674418604651,0.6847697756788667,0.5298651252408478,0.5861244019138756,0.7225647348951911,0.730512249443207,0.0,0.7223587223587223,0.0
1160,0.8773291925465839,0.8653992395437263,0.7310252996005325,0.8360528360528362,0.919558359621451,0.9378980891719746,0.0,0.9210110584518169,0.0
1180,0.391304347826087,0.4748858447488585,0.3809523809523809,0.4201680672268908,0.5930232558139534,0.5770750988142292,0.0,0.5930232558139534,0.0
1280,0.6380622837370242,0.6032417195207892,0.4491392801251956,0.5337837837837838,0.6563758389261745,0.7080491132332877,0.0,0.6572769953051643,0.0
1281,0.507163323782235,0.4816053511705686,0.3217993079584775,0.4096385542168675,0.5372168284789645,0.5822784810126582,0.0,0.5268292682926828,0.0
1300,0.8987341772151899,0.8660660660660661,0.7289836888331243,0.8903143040410519,0.9284403669724771,0.9506558400999376,0.0,0.9261083743842364,0.0
1301,0.88,0.8493150684931507,0.8471615720524017,0.7929515418502202,0.946058091286307,0.9565217391304348,0.0,0.9416666666666668,0.0
1302,0.7536945812807883,0.7582417582417583,0.6028985507246377,0.6708701134930644,0.8492063492063492,0.8164313222079589,0.0,0.8510638297872342,0.0
1320,0.6987951807228916,0.6739846322722283,0.5788461538461539,0.5755995828988529,0.8090551181102363,0.782608695652174,0.0,0.803921568627451,0.0
1560,0.7930813581037797,0.7464953271028036,0.6362179487179488,0.6598465473145779,0.8217562254259502,0.8189379398592452,0.0,0.8153540701522172,0.0
1920,0.8933428775948461,0.9054945054945056,0.8558490566037735,0.8278388278388277,0.9128869690424766,0.9076704545454546,0.0,0.9123563218390804,0.0
1940,0.8214285714285714,0.7906976744186046,0.6476868327402134,0.6691176470588236,0.8682170542635659,0.8996282527881041,0.0,0.8692307692307691,0.0
2060,0.7314984709480122,0.7387706855791962,0.620377358490566,0.6642685851318944,0.783068783068783,0.7848729076255424,0.0,0.7754861520329994,0.0
2220,0.7435897435897435,0.751269035532995,0.4880952380952382,0.6315789473684209,0.881057268722467,0.8093385214007781,0.0,0.890829694323144,0.0
2280,0.7898172323759791,0.8115216030056356,0.5772058823529411,0.7638709677419354,0.6297709923664122,0.8181818181818182,0.0,0.6225972808251289,0.0
2403,0.7203114860480208,0.7344423906346272,0.6039035591274398,0.670815183571873,0.7612231620039037,0.7501490757304712,0.0,0.7604906391220142,0.0
2462,0.722117202268431,0.7679671457905545,0.6041666666666666,0.7094017094017095,0.7488584474885845,0.763915547024952,0.0,0.7407407407407409,0.0
2522,0.8907563025210082,0.8460111317254174,0.7632461435278337,0.7554996857322439,0.9206745783885073,0.9284332688588008,0.0,0.9231730168644596,0.0
2582,0.6974483596597812,0.6711956521739131,0.5251215559157213,0.5714285714285714,0.7126168224299065,0.7420147420147419,0.0,0.716763005780347,0.0
2583,0.9644293226105785,0.9263713699031976,0.9003783102143759,0.9189686924493556,0.9743431221020092,0.9739454094292804,0.1621621621621622,0.9743589743589742,0.2142340803049221
2585,0.7281795511221945,0.6762177650429799,0.5224625623960066,0.5398009950248757,0.7827191867852605,0.7951219512195121,0.0,0.7953964194373402,0.0
2705,0.6430205949656752,0.643702906350915,0.3209876543209876,0.5460910151691949,0.6987270155586988,0.6909518213866039,0.0,0.6949152542372882,0.0
2905,0.9501915708812262,0.9772727272727272,0.0451127819548872,0.9626865671641792,0.952755905511811,0.9411764705882352,0.0,0.9565217391304348,0.0
accuracy,0.7676455435342607,0.7615367630823582,0.6065356590858909,0.6913225877677192,0.7954662545079856,0.8166629866784426,0.088235294117647,0.794141458747332,0.1199676161036284
macro avg,0.7407909452297836,0.7397173843513133,0.5627317381578254,0.6637910875834249,0.783747785678402,0.7985897355571874,0.0064864864864864,0.7824878459092047,0.0079345955668489
weighted avg,0.7705042185838804,0.7604248980210799,0.6186479582470358,0.6946723238019493,0.7974647568478047,0.8186578292217644,0.0143084260731319,0.7960005481179026,0.0257011519023348
